                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    101,                 1.2157,                 1.0983,                 1.4632,                0.88128,                0.85353,                0.91583,                  0.621,                 1.1501,                0.72551,                 1.4286,              0.0090199,              0.0090199,              0.0090199
                    102,                 1.2134,                 1.0988,                 1.4611,                0.88163,                0.85204,                0.91625,                0.62147,                  1.149,                0.72446,                 1.4275,                0.00901,                0.00901,                0.00901
                    103,                 1.2121,                 1.0896,                 1.4562,                0.88235,                0.85315,                0.91637,                0.62174,                  1.148,                0.72357,                 1.4266,              0.0090001,              0.0090001,              0.0090001
                    104,                 1.2074,                 1.0865,                  1.456,                0.88603,                0.85025,                0.91629,                0.62265,                 1.1463,                0.72271,                  1.425,              0.0089902,              0.0089902,              0.0089902
                    105,                 1.2029,                 1.0894,                 1.4539,                0.88788,                0.85148,                0.91685,                0.62362,                 1.1452,                0.72148,                 1.4238,              0.0089803,              0.0089803,              0.0089803
                    106,                 1.2089,                 1.0991,                 1.4599,                0.88746,                0.85263,                0.91722,                0.62392,                 1.1438,                0.72032,                 1.4222,              0.0089704,              0.0089704,              0.0089704
                    107,                 1.2035,                 1.0882,                 1.4535,                0.88732,                0.85581,                0.91795,                0.62494,                 1.1422,                0.71896,                 1.4207,              0.0089605,              0.0089605,              0.0089605
                    108,                 1.2019,                 1.0862,                 1.4519,                0.88607,                0.85731,                0.91821,                 0.6255,                 1.1405,                0.71758,                  1.419,              0.0089506,              0.0089506,              0.0089506
                    109,                 1.2069,                 1.0829,                 1.4512,                0.88645,                0.85802,                0.91863,                0.62621,                 1.1392,                0.71626,                 1.4176,              0.0089407,              0.0089407,              0.0089407
                    110,                 1.2026,                 1.0769,                 1.4443,                0.88818,                 0.8583,                0.91915,                0.62713,                 1.1379,                0.71429,                 1.4164,              0.0089308,              0.0089308,              0.0089308
                    111,                 1.2024,                 1.0804,                 1.4496,                0.88841,                0.85876,                0.91945,                0.62762,                 1.1367,                0.71326,                 1.4151,              0.0089209,              0.0089209,              0.0089209
                    112,                 1.1996,                 1.0678,                 1.4431,                0.88802,                0.85988,                0.91984,                0.62845,                 1.1353,                0.71158,                 1.4138,               0.008911,               0.008911,               0.008911
                    113,                 1.1992,                 1.0677,                 1.4429,                0.88924,                0.85907,                0.92026,                0.62871,                 1.1339,                 0.7099,                 1.4122,              0.0089011,              0.0089011,              0.0089011
                    114,                 1.1954,                 1.0667,                 1.4449,                 0.8893,                0.85896,                0.92042,                0.62956,                 1.1328,                0.70857,                 1.4114,              0.0088912,              0.0088912,              0.0088912
                    115,                 1.1913,                 1.0632,                 1.4389,                0.89227,                0.85778,                 0.9215,                 0.6303,                 1.1315,                0.70666,                 1.4097,              0.0088813,              0.0088813,              0.0088813
                    116,                 1.1918,                 1.0666,                 1.4413,                0.89207,                0.85742,                0.92195,                0.63101,                 1.1301,                0.70524,                 1.4085,              0.0088714,              0.0088714,              0.0088714
                    117,                 1.1892,                 1.0543,                 1.4372,                0.89367,                0.85665,                0.92213,                0.63221,                 1.1287,                0.70326,                 1.4071,              0.0088615,              0.0088615,              0.0088615
                    118,                 1.1819,                 1.0442,                 1.4322,                0.89373,                0.85656,                0.92263,                0.63306,                 1.1271,                0.70159,                 1.4056,              0.0088516,              0.0088516,              0.0088516
                    119,                 1.1868,                  1.043,                 1.4341,                0.89808,                0.85428,                 0.9231,                0.63382,                 1.1254,                0.69981,                 1.4042,              0.0088417,              0.0088417,              0.0088417
                    120,                 1.1805,                 1.0459,                  1.431,                0.89788,                0.85417,                0.92369,                0.63467,                 1.1241,                0.69823,                 1.4031,              0.0088318,              0.0088318,              0.0088318
                    121,                 1.1851,                 1.0442,                 1.4349,                0.89676,                0.85477,                0.92397,                0.63536,                 1.1226,                0.69604,                 1.4017,              0.0088219,              0.0088219,              0.0088219
                    122,                 1.1854,                  1.042,                 1.4335,                 0.9002,                 0.8527,                0.92433,                0.63608,                 1.1212,                0.69446,                 1.4002,               0.008812,               0.008812,               0.008812
                    123,                 1.1787,                 1.0441,                 1.4291,                0.89804,                 0.8548,                0.92425,                0.63663,                 1.1196,                0.69273,                 1.3986,              0.0088021,              0.0088021,              0.0088021
                    124,                 1.1712,                 1.0383,                 1.4274,                 0.8983,                0.85487,                0.92442,                0.63765,                 1.1182,                 0.6907,                 1.3971,              0.0087922,              0.0087922,              0.0087922
                    125,                  1.177,                 1.0397,                 1.4298,                0.90039,                0.85423,                0.92522,                0.63848,                 1.1163,                0.68892,                 1.3954,              0.0087823,              0.0087823,              0.0087823
                    126,                 1.1753,                 1.0335,                 1.4229,                0.89816,                0.85765,                0.92518,                0.63945,                 1.1147,                0.68711,                 1.3937,              0.0087724,              0.0087724,              0.0087724
                    127,                  1.173,                 1.0272,                 1.4278,                0.89884,                0.85823,                 0.9258,                0.64022,                 1.1131,                0.68492,                 1.3922,              0.0087625,              0.0087625,              0.0087625
                    128,                 1.1704,                   1.03,                 1.4239,                0.89901,                0.85937,                0.92612,                0.64107,                 1.1115,                0.68311,                 1.3908,              0.0087526,              0.0087526,              0.0087526
                    129,                 1.1742,                 1.0235,                  1.424,                0.89775,                0.86038,                 0.9265,                0.64222,                 1.1102,                0.68138,                 1.3891,              0.0087427,              0.0087427,              0.0087427
                    130,                 1.1638,                 1.0188,                 1.4214,                0.89731,                0.86384,                0.92705,                0.64341,                  1.109,                0.67919,                 1.3878,              0.0087328,              0.0087328,              0.0087328
                    131,                 1.1654,                 1.0184,                  1.417,                0.89787,                  0.865,                0.92763,                0.64423,                 1.1073,                0.67715,                  1.386,              0.0087229,              0.0087229,              0.0087229
                    132,                 1.1686,                 1.0238,                 1.4203,                 0.8981,                0.86782,                0.92811,                0.64531,                 1.1057,                0.67558,                 1.3845,               0.008713,               0.008713,               0.008713
                    133,                  1.167,                 1.0182,                 1.4212,                0.90009,                0.86791,                 0.9283,                0.64553,                  1.104,                0.67416,                 1.3829,              0.0087031,              0.0087031,              0.0087031
